Date,ITSA4.SA,PETR4.SA,VALE3.SA
2015-01-02,4.678837776184082,8.400567054748535,16.208206176757812
2015-01-05,4.69414758682251,7.682570457458496,15.964471817016602
2015-01-06,4.729862213134766,7.431271076202393,16.604267120361328
2015-01-07,4.908442497253418,7.7812957763671875,17.213600158691406
2015-01-08,4.959466934204102,8.283894538879395,17.396398544311523
2015-01-09,4.785987377166748,8.535192489624023,17.0231876373291
2015-01-12,4.704349517822266,7.933868408203125,17.244070053100586
2015-01-13,4.719656944274902,8.158246040344238,17.145051956176758
2015-01-14,4.7451701164245605,7.9966936111450195,15.766441345214844
2015-01-15,4.73496150970459,8.355693817138672,15.949239730834961
2015-01-16,4.8217034339904785,8.472366333007812,16.665203094482422
2015-01-19,4.602303981781006,8.230043411254883,16.49002456665039
2015-01-20,4.69414758682251,8.355693817138672,16.558570861816406
2015-01-21,4.882930278778076,8.88521671295166,16.817537307739258
2015-01-22,4.933956146240234,9.181388854980469,16.688053131103516
2015-01-23,4.8982391357421875,8.957015037536621,15.629342079162598
2015-01-26,4.893136024475098,8.82239055633545,14.913374900817871
2015-01-27,4.893136024475098,9.100616455078125,14.471613883972168
2015-01-28,4.7910895347595215,8.176192283630371,14.387829780578613
2015-01-29,4.760475158691406,7.7812957763671875,13.748030662536621
2015-01-30,4.663532257080078,7.449221134185791,14.174562454223633
2015-02-02,4.709451198577881,7.8889946937561035,15.035243034362793
2015-02-03,4.862522125244141,8.948040008544922,15.895926475524902
2015-02-04,5.041104793548584,8.992914199829102,15.652190208435059
2015-02-05,5.041104793548584,8.82239055633545,15.576024055480957
2015-02-06,5.10233211517334,8.18516731262207,15.55317497253418
2015-02-09,5.066616535186768,8.4364652633667,16.444320678710938
2015-02-10,5.000284671783447,7.9966936111450195,15.537939071655273
2015-02-11,4.905745506286621,8.14926815032959,16.071107864379883
2015-02-12,4.968371868133545,8.481341361999512,16.436704635620117
2015-02-13,5.1405930519104,9.001888275146484,17.12220573425293
2015-02-18,5.21887731552124,9.0108642578125,17.29738426208496
2015-02-19,5.20844030380249,8.714692115783691,16.8327693939209
2015-02-20,5.21887731552124,8.65186595916748,17.22883415222168
2015-02-23,5.255410671234131,8.526217460632324,16.467172622680664
2015-02-24,5.302380561828613,8.88521671295166,16.787073135375977
2015-02-25,5.323256492614746,8.4364652633667,16.863235473632812
2015-02-26,5.3545684814453125,8.283894538879395,16.185354232788086
2015-02-27,5.2658491134643555,8.571091651916504,16.185354232788086
2015-03-02,5.22142219543457,8.454415321350098,15.659809112548828
2015-03-03,5.231874465942383,8.589040756225586,15.834992408752441
2015-03-04,5.190061092376709,8.319792747497559,15.530323028564453
2015-03-05,5.169154644012451,8.292868614196777,14.85244369506836
2015-03-06,5.059395790100098,8.301841735839844,14.92099380493164
