Date,ITSA4.SA,PETR4.SA,VALE3.SA
2015-01-02,6.828494071960449,9.359999656677246,21.280000686645508
2015-01-05,6.850833892822266,8.5600004196167,20.959999084472656
2015-01-06,6.902958869934082,8.279999732971191,21.799999237060547
2015-01-07,7.163589000701904,8.670000076293945,22.600000381469727
2015-01-08,7.238055229187012,9.229999542236328,22.84000015258789
2015-01-09,6.984871864318848,9.510000228881836,22.350000381469727
2015-01-12,6.865726947784424,8.84000015258789,22.639999389648438
2015-01-13,6.888065814971924,9.09000015258789,22.510000228881836
2015-01-14,6.925299167633057,8.90999984741211,20.700000762939453
2015-01-15,6.910406112670898,9.3100004196167,20.940000534057617
2015-01-16,7.0369977951049805,9.4399995803833,21.8799991607666
2015-01-19,6.716794967651367,9.170000076293945,21.649999618530273
2015-01-20,6.850833892822266,9.3100004196167,21.739999771118164
2015-01-21,7.12635612487793,9.899999618530273,22.079999923706055
2015-01-22,7.200821876525879,10.229999542236328,21.90999984741211
2015-01-23,7.148695945739746,9.979999542236328,20.520000457763672
2015-01-26,7.141249179840088,9.829999923706055,19.579999923706055
2015-01-27,7.141249179840088,10.140000343322754,19.0
2015-01-28,6.992318153381348,9.109999656677246,18.889999389648438
2015-01-29,6.947638988494873,8.670000076293945,18.049999237060547
2015-01-30,6.806153774261475,8.300000190734863,18.610000610351562
2015-02-02,6.873173236846924,8.789999961853027,19.739999771118164
2015-02-03,7.096570014953613,9.970000267028809,20.8700008392334
2015-02-04,7.3572001457214355,10.020000457763672,20.549999237060547
2015-02-05,7.3572001457214355,9.829999923706055,20.450000762939453
2015-02-06,7.446557998657227,9.119999885559082,20.420000076293945
2015-02-09,7.394432067871094,9.399999618530273,21.59000015258789
2015-02-10,7.297626972198486,8.90999984741211,20.399999618530273
2015-02-11,7.015933990478516,9.079999923706055,21.100000381469727
2015-02-12,7.105498790740967,9.449999809265137,21.579999923706055
2015-02-13,7.351802825927734,10.029999732971191,22.479999542236328
2015-02-18,7.463759899139404,10.039999961853027,22.709999084472656
2015-02-19,7.448832035064697,9.710000038146973,22.100000381469727
2015-02-20,7.463759899139404,9.640000343322754,22.6200008392334
2015-02-23,7.516005992889404,9.5,21.6200008392334
2015-02-24,7.583179950714111,9.899999618530273,22.040000915527344
2015-02-25,7.613035202026367,9.399999618530273,22.139999389648438
2015-02-26,7.657817840576172,9.229999542236328,21.25
2015-02-27,7.530933856964111,9.550000190734863,21.25
2015-03-02,7.456295967102051,9.420000076293945,20.559999465942383
2015-03-03,7.471223831176758,9.569999694824219,20.790000915527344
2015-03-04,7.411512851715088,9.270000457763672,20.389999389648438
2015-03-05,7.38165807723999,9.239999771118164,19.5
2015-03-06,7.224918842315674,9.25,19.59000015258789
2015-03-09,7.03832483291626,8.920000076293945,19.540000915527344
2015-03-10,6.866659164428711,8.520000457763672,19.100000381469727
2015-03-11,7.09803581237793,8.739999771118164,18.860000610351562
2015-03-12,7.1278910636901855,8.470000267028809,18.860000610351562
2015-03-13,7.075644016265869,8.34000015258789,18.8799991607666
2015-03-16,7.09803581237793,8.390000343322754,18.899999618530273
2015-03-17,7.269701957702637,8.859999656677246,19.8799991607666
2015-03-18,7.553325176239014,9.199999809265137,19.59000015258789
2015-03-19,7.560789108276367,8.920000076293945,19.149999618530273
2015-03-20,7.530933856964111,9.220000267028809,20.25
2015-03-23,7.523469924926758,9.329999923706055,20.3799991607666
2015-03-24,7.508542060852051,9.420000076293945,19.579999923706055
2015-03-25,7.560789108276367,9.800000190734863,19.760000228881836
2015-03-26,7.344339847564697,9.329999923706055,18.920000076293945
2015-03-27,7.20252799987793,9.359999656677246,18.350000381469727
2015-03-30,7.426441192626953,9.710000038146973,18.6200008392334
2015-03-31,7.448832035064697,9.65999984741211,17.940000534057617
2015-04-01,7.710063934326172,10.260000228881836,17.540000915527344
2015-04-02,7.844411849975586,10.6899995803833,18.0
2015-04-06,7.986223220825195,10.710000038146973,18.1299991607666
2015-04-07,7.9712958335876465,10.920000076293945,19.0
2015-04-08,7.9563679695129395,10.569999694824219,18.75
2015-04-09,7.807093143463135,11.579999923706055,18.799999237060547
2015-04-10,7.859339237213135,11.8100004196167,18.420000076293945
2015-04-13,7.851874828338623,12.270000457763672,18.239999771118164
2015-04-14,7.814557075500488,12.460000038146973,18.75
2015-04-15,7.933977127075195,13.34000015258789,18.600000381469727
2015-04-16,7.896657943725586,12.979999542236328,18.059999465942383
2015-04-17,7.807093143463135,12.949999809265137,17.799999237060547
2015-04-20,7.7249908447265625,13.069999694824219,17.729999542236328
2015-04-22,7.784701824188232,13.0,19.450000762939453
2015-04-23,7.874267101287842,12.869999885559082,21.09000015258789
2015-04-24,8.135498046875,13.220000267028809,23.200000762939453
2015-04-27,8.068324089050293,12.520000457763672,23.459999084472656
2015-04-28,8.016077995300293,12.770000457763672,22.549999237060547
2015-04-29,7.978758811950684,12.819999694824219,21.110000610351562
2015-04-30,7.91904878616333,13.0600004196167,22.649999618530273
2015-05-04,7.993687152862549,13.789999961853027,24.780000686645508
2015-05-05,7.89815092086792,14.430000305175781,27.059999465942383
2015-05-06,7.816049098968506,13.789999961853027,24.93000030517578
2015-05-07,7.865310192108154,13.65999984741211,23.8799991607666
2015-05-08,7.972042083740234,13.510000228881836,22.75
2015-05-11,7.9966721534729,13.770000457763672,23.280000686645508
2015-05-12,7.922780990600586,13.729999542236328,22.329999923706055
2015-05-13,7.774999141693115,13.979999542236328,21.600000381469727
2015-05-14,7.840680122375488,13.899999618530273,21.329999923706055
